1; LE-BISCUIT MA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;AV 2 No 6-62 via a mundo nuevo;3133483336
2; MI BARCITO;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CALLE 9 No. 10 B - 05;8600130
3;A - VENTUS S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;DIAGONAL 94 BIS No. 56 - 37 BARRIO RIO NEGRO;6211919
4;A MOJICA OBRAS CIVILES E U;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CARRERA 6 No. 55- 10 AP 101;
5;A TODA HORA S.A ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 100 No. 13-21 p 7;          6422000 EX.2361
6;A.PUNTO TRANSITO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 2 No 10-31;3177418467
7;ACABADOS Y ACCESORIOS LMMAL SAS;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CALLE 7 No. 2 B - 34 LOCAL 307;2136145
8;ACCION OXIGENARTE SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM. 1.5 VIA LA CALERA GUASCA;8601967
9;ADORNOS PAOLA;MISCELÁNEA;47;COMERCIO AL POR MENOR;CLL 6 No. 5-10;3107572955
10;AGRICOLA SAN CARLOS;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;K 8 No 2A-17;
11;AGROPECUARIA SAN CARLOS;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;AVENIDA PRINCIPAL No. 8 -55;8601382
12;AGROTODO LA CALERA;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;CLL 7 No. 1-32 ;8600322
13;AGUAS DE BOGOTA SA ESP;ACUEDUCTOS;35;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR, Y AIRE ACONDICIONADO;AV CALLE 24 No. 37-15;3447397
14;AGUAS DE LOS ANDES S.A. ESP;ACUEDUCTOS;35;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR, Y AIRE ACONDICIONADO;CLL 82 No. 19A 34 PISO 6 BOGOTA ;7470058
15;AGUAZULA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 3 No. 3-50;8603131
16;AIG;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 1-87;8600814
17;ALIANZA COMERCIAL- DALY;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 7-63;3134576378-8603199
18;ALMACEN DE BICICLETAS MORENO;TALLER DE BICICLETAS ;95;MANTENIMIETNO Y REPARACIÓN DE COMPUTADORES EFECTOS PERSONALES Y ENSERES DOMESTICOS;C 2 No 8-24;8600816
19;ALMACEN KAYROS MODA;ALMACEN;47;COMERCIO AL POR MENOR;CLL 9 No. 3 - 45;8601713
20;ALMACEN LA SUPERESPUMA;ALMACEN;47;COMERCIO AL POR MENOR;K 4 No 6-19;8602181
21;ALMACEN SUSY ;ALMACEN;47;COMERCIO AL POR MENOR;K 4 No 7-29;
22;ALMACEN ULISES;ALMACEN;47;COMERCIO AL POR MENOR;C 6 No 3-57;8602405
23;ALMACEN VETERINARIA Y AGRICOLA;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;K 4 No 7-82;8600211
24;ALMACEN Y FERRETERIA EL PORVENIR;ALMACEN;47;COMERCIO AL POR MENOR;AV 2 No 8A-20;8601649
25;ALTA PELUQUERIA LUIS CARLOS;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;K 4 No 7-32;8600213
26;ALTILLO PARRILLA BAR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CALLE 2 No. 8 - 28;3103163110
27;ALTIPAL S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 69 B No. 19 A - 47;2948383
28;ALTO DE LA CRUZ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;SANTA HELENA;8605377
29;ALTOS DEL TEUSACA S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 13A No. 98-08 BOGOTA ;2363013
30;AMASIJOS TUNJAQUE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA TUNJAQUE;3125431489
31;AMCOR PET PACKAGING DE COLOMBIA;VETERINARIA;75;ACTIVIDADES VETERINARIAS;VDA SANTA HELENA KM 12 VIA CHINGAZA ;6024100
32;AMORDISCOS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 7 No 2B-34;8751803
33;ANDAMIOS EL CONSTRUCTOR;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;K 2 No 11-43;8751506
34;ANIMALIMENTOS;VETERINARIA;75;ACTIVIDADES VETERINARIAS;CR. 3 No. 3 - 05 PISO 1;8603557
35;ANIMALS CLUB;VETERINARIA;75;ACTIVIDADES VETERINARIAS;KM3 VIA LA CALERA SOPO ;8600169
36;ANTIGUO MAS MODERNO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 3 DESPUES DEL PEAJE;8740252
37;APUESTAS EN LINEA ;APUESTAS;92;ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS;AV PPAL FRENTE AVVILLAS- SUCURSAL CLL 6 VIA A EDF SANTA MARIA- ZIPAQUIRA  CRA 10 No. 5-38;3212104185
38;AQUAGEST LTDA ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA MARQUEZ FCA BUEN VIVIR  ;8606433
39;ARBORETO BOSQUE RESIDENCIAL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 6 VIA LA CALERA;8751729
40;ARFAVEL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No 3-09 piso 2;8757824
41;ARIAS SERNA Y SANBRIA  S.AA.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AVENIDA CALLE  82 No. 10 - 33  OFICINA 1001;2570266
42;ARICORP S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AC 82 No. 10 - 33 OF. 1001;2570266
43;ARMONIA ESTETICA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 7 No. 2 B - 34 CENTRO CMER ;8602570/3003647959
44;ARTDISEÑOS E IMPRESIÓN;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;CALLE 7 No. 1-58;8757168
45;ARTESANIAS BACHUE;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;K 4 No 5-28;8600443
46;ASADERO AREPAS LA PRINCIPAL;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 28;8603045
47;ASADERO DE AREPAS LA CALERUNA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 27;8752228
48;ASADERO DE AREPAS PATY;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 21;
49;ASADERO DE AREPAS ROSSI;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 9-87;8600998
50;ASADERO DE AREPAS ZULEY;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 23;8601880
